date,events
2020-01-31,<a href="https://plot.ly/">1</a>
2020-03-13,<a href="https://plot.ly/">2</a>
2020-03-15,<a href="https://plot.ly/">3</a> 
2020-03-17,<a href="https://plot.ly/">4</a>
2020-03-20,<a href="https://plot.ly/">5</a>
2020-04-25,<a href="https://plot.ly/">6</a>
2020-05-01,<a href="https://plot.ly/">7</a>
2020-05-07,<a href="https://plot.ly/">8</a>
2020-05-30,<a href="https://plot.ly/">9</a>
2020-06-03,<a href="https://plot.ly/">10</a>
