date,events
3/11/2020,<a href="https://plot.ly/">1</a>
3/17/2020,<a href="https://plot.ly/">2</a>
3/19/2020,<a href="https://plot.ly/">3</a>
3/24/2020,<a href="https://plot.ly/">4</a>
4/23/2020,<a href="https://plot.ly/">5</a> <a href="https://plot.ly/">6</a>
5/01/2020,<a href="https://plot.ly/">7</a>
5/26/2020,<a href="https://plot.ly/">8</a>
6/12/2020,<a href="https://plot.ly/">9</a>
6/25/2020,<a href="https://plot.ly/">10</a>
6/27/2020,<a href="https://plot.ly/">11</a>
